localite_auto_ecole,candidats ETG, réussite ETG,nbr_candidats,reussite,
"AUTO ECOLE DOMINIQUE 2, AVENUE ROGER SALENGRO 01500 AMBERIEU-EN-BUGEY",162,66.67,110,59.09,
AUTO ECOLE ECOLE DE CONDUITE FRANCINE 19 SUD AVENUE CHARLES DE GAULLE IMMEUBLE LES ARCAD DES 01500 AMBERIEU EN BUGEY,255,74.51,150,54.67,
AUTO ECOLE CAP PERMIS 48 RUE DE LA CHARITE 01540 VONNAS,114,48.25,81,64.2,
AUTO ECOLE TCM 8 GRANDE RUE 01600 TREVOUX,154,85.06,83,59.04,
AUTO ECOLE ALPI SARL 30 RUE DE LA PLACE 01600 REYRIEUX,89,75.28,86,58.14,
AUTO ECOLE SELECT 5 RUE DE L HERBERIE 01600 TREVOUX,153,63.4,112,58.93,
AUTO ECOLE N'RGY CONDUITE 43 RUE DE GENEVE 01630 ST GENIS POUILLY,108,82.41,49,53.06,
"AUTO ECOLE MADELAINE 26, RUE DE GENEVE 01630 SAINT GENIS POUILLY",118,73.73,69,55.07,
"AUTO ECOLE JACQUET -SARL- 9, RUE DE POUILLY 01630 SAINT GENIS POUILLY",208,54.81,102,55.88,
AUTO ECOLE JANY 210 GRANDE RUE 01660 MEZERIAT,123,72.36,80,67.5,
AUTO ECOLE MIRIBEL AVENUE 1186 GRANDE RUE 01700 MIRIBEL,57,70.18,19,42.11,
AUTO ECOLE ECOLE DE CONDUITE SAINT MAURICE 90 CITES DES FOLLIETS 01700 ST MAURICE DE BEYNOT,128,57.81,76,53.95,
AUTO ECOLE GRAND LARGE 1311 GRANDE RUE 01700 MIRIBEL,243,77.78,162,68.52,
AUTO ECOLE THOIRY RUE DE BREU 01710 THOIRY,57,63.16,34,52.94,
AUTO ECOLE CAP PERMIS 116 RUE ROSSET 01750 REPLONGES,85,69.41,47,70.21,
AUTO ECOLE MESTRE 214 RUE DE LA LEVEE 01750 SAINT LAURENT SUR SAONE,115,59.13,81,69.14,
AUTO ECOLE CER 2 L'HOLORGE 6 PLACE LIEUTENANT GIRAUD 01800 MEXIMIEUX,37,83.78,31,45.16,
AUTO ECOLE TABIA MEXIMIEUX 8 RUE DU BAN THEVENIN 01800 MEXIMIEUX,76,67.11,41,51.22,
AUTO ECOLE ECF AGENCE MAGALI CENTRE COMMERCIAL MAGALI 1 AVE DU DOCTEUR BERTHIER 01800 MEXIMIEUX,332,75.9,185,58.38,
AUTO ECOLE AE DES PRIMEVERES-MONTESQUIEU 33 C RUE DE L'EUROPE 01960 PERONNAS,67,58.21,32,75,
AUTO ECOLE 2020 10 RUE DE L EGLISE 01990 SAINT TRIVIER,87,57.47,25,72,
AUTO ECOLE CHAMPAGNE 112 RUE PIERRE CURTIL 02000 LAON,96,30.21,32,46.88,
AUTO ECOLE DE LA PASSERELLE 29 BOULEVARD GRAS BRANCOURT 02000 LAON,100,60,53,60.38,
AUTO ECOLE DU PLATEAU 3 BIS PLACE VICTOR HUGO 02000 LAON,176,61.93,91,69.23,
AUTO ECOLE MICHELET 11 RUE DU POINT DU JOUR 02000 LAON,383,63.45,197,66.5,
AUTO ECOLE ECOLE DE CONDUITE DOUCY 243 RUE DE GUISE 02100 SAINT QUENTIN,33,60.61,14,85.71,
AUTO ECOLE MARIN 25 RUE DE LA SOUS-PREFECTURE 02100 SAINT-QUENTIN,38,71.05,22,45.45,
AUTO ECOLE DACHERY 26 RUE DE PARIS 02100 SAINT QUENTIN,56,64.29,27,44.44,
AUTO ECOLE AISNE 167 RUE DU GENERAL LECLERC 02100 SAINT QUENTIN,109,71.56,53,52.83,
AUTO ECOLE LAURENT 26 PLACE CORDIER 02100 SAINT-QUENTIN,93,52.69,55,45.45,
AUTO ECOLE BERSEZ CONDUITE 1 RUE QUENTIN BARRE 02100 SAINT QUENTIN,101,83.17,60,61.67,
AUTO ECOLE DRIVING SCHOOL FORMATION - DSF 5-7 RUE DU GENERAL LECLERC 02100 SAINT QUENTIN,133,57.14,83,65.06,
AUTO ECOLE AUTO-MOTO-ECOLE PHILIPPE 5 TER RUE HENRI MARTIN 02100 SAINT QUENTIN,233,64.38,90,48.89,
AUTO ECOLE CFR EUROPEEN DAVID GOLOTVINE 5/7 RUE DU GENERAL LECLERC 02100 SAINT QUENTIN,200,71,99,58.59,
AUTO ECOLE AUTO-MOTO-ECOLE LES 3R 26 RUE DES ETATS GENERAUX 02100 SAINT QUENTIN,245,56.73,112,63.39,
AUTO ECOLE EFCT MANUEL DE CARVALHO 5 RUE DE BELLEVUE 02100 SAINT QUENTIN,248,72.98,168,68.45,
AUTO ECOLE O.S.R 47 RUE ANTOINE LECUYER 02100 SAINT QUENTIN,425,70.82,273,62.27,
AUTO ECOLE BERTELLI 7 RUE D ISLE 02100 SAINT-QUENTIN,561,67.74,274,54.74,
AUTO ECOLE ECOLE DE CONDUITE DU VERMANDOIS 41 RUE JEAN JAURES 02110 BOHAIN,90,65.56,61,62.3,
AUTO ECOLE FLABAT MARIE ODIL 21 RUE FAGARD 02110 BOHAIN,114,84.21,67,53.73,
AUTO ECOLE MENNESSON 2 RUE SADI CARNOT 02120 GUISE,79,50.63,34,52.94,
AUTO ECOLE GUISARDE 78 RUE CAMILLE DESMOULINS 02120 GUISE,99,62.63,54,74.07,
AUTO ECOLE BERSEZ CONDUITE 197 RUE ANDRE GODIN 02120 GUISE,159,75.47,95,55.79,
AUTO ECOLE ECOLE DE CONDUITE PH DECLERCQ 31 PLACE ARISTIDE BRIAND 02130 FERE EN TARDENOIS,85,52.94,43,60.47,
AUTO ECOLE CAUET-JOSPIN 13 RUE DU GENERAL LECLERC 02140 VERVINS,24,45.83,11,63.64,
AUTO ECOLE LEDOUX 20 RUE DUSOLON 02140 VERVINS,181,61.33,105,74.29,
AUTO ECOLE DE SISSONNE 1 RUE DU 11 NOVEMBRE 1918 02150 SISSONNE,71,49.3,46,63.04,
AUTO ECOLE FORMATION PERMIS 3 RUE RAYMOND VICARY 02170 LE NOUVION EN THIERACHE,65,52.31,26,34.62,
AUTO ECOLE NATHALIE FROMENT 44 RUE THEODORE BLOT 02170 LE NOUVION EN THIERACHE,91,69.23,62,79.03,
AUTO ECOLE AUTO MOTO ECOLE MORTIMER 14 BIS AVENUE DU GENERAL DE GAULLE 02190 GUIGNICOURT,159,71.07,75,74.67,
AUTO ECOLE PRESLES 2 BOULEVARD DE PRESLES 02200 SOISSONS,121,71.07,35,71.43,
AUTO ECOLE ECOLE DE C JP BAUDOUX 23 RUE DE PUYSEGUR 02200 SOISSONS,80,61.25,36,44.44,
AUTO ECOLE MARIE CLAIRE 37 AVENUE DE COMPIEGNE 02200 SOISSONS,148,48.65,90,68.89,
AUTO ECOLE AU 56 56 AVENUE DE REIMS 02200 SOISSONS,167,62.87,95,48.42,
AUTO ECOLE M AUTO PLUS 28 AVENUE DE REIMS 02200 SOISSONS,264,72.35,105,58.1,
