localite_auto_ecole,candidats ETG, réussite ETG,nbr_candidats,reussite,
AUTO ECOLE CH TI 1 RUE DES ARTS 59710 AVELIN,322,86.96,218,57.8,
"AUTO ECOLE MIROUX 152, RUE D'AVESNES 59720 LOUVROIL",63,39.68,26,61.54,
AUTO ECOLE POINT PERMIS 75 BIS RUE D'HAUMONT 59720 LOUVROIL,98,45.92,42,47.62,
"AUTO ECOLE GINO 148, RUE JULES-GALLOIS 59720 LOUVROIL",71,36.62,50,56,
"AUTO ECOLE PILOTE 25 BIS, ROUTE DE LANDRECIES 59720 LOUVROIL",178,56.74,84,59.52,
"AUTO ECOLE FLAMENT 1, RUE DU NOUVEAU-MONDE 59730 SOLESMES",126,71.43,72,65.28,
AUTO ECOLE EURO CONDUITE 100 RUE PAUL DEUDON 59750 FEIGNIES,81,70.37,50,60,
AUTO ECOLE MAISON DE L'INITIATIVE 20 RUE FRANCOIS MITTERAND 59760 GRANDE SYNTHE,119,51.26,50,44,
AUTO ECOLE ZZ 25C AVENUE RENE CAREME 59760 GRANDE SYNTHE,146,73.29,61,55.74,
AUTO ECOLE MODERNE 19 AVENUE DE LA COMMUNE DE PARIS 59760 GRANDE-SYNTHE,262,39.31,107,46.73,
AUTO ECOLE PASSION CONDUITE 340 AVENUE BARBUSSE 59770 MARLY,47,63.83,15,73.33,
AUTO ECOLE DE LA PLACE 4 RUE OSCAR CARPENTIER 59770 MARLY,78,66.67,77,63.64,
AUTO ECOLE AUTO MOTO ECOLE PACK PERMIS 12 RUE D ESCAMIN 59780 BAISIEUX,59,66.1,28,75,
AUTO ECOLE JEAN LEBAS 5 7RUE JEAN BAPTISTE LEBAS 59780 WILLEMS,59,76.27,42,61.9,
AUTO ECOLE DE BAISIEUX 72 2 RUE DE TOURNAI 59780 BAISIEUX,126,76.98,83,53.01,
AUTO ECOLE PERMISUR 418 RUE CHARLES SAINT VENANT 59790 RONCHIN,40,85,23,39.13,
"AUTO ECOLE DU CITOYEN 11,RUE GUSTAVE DELORY 59790 RONCHIN",66,60.61,33,51.52,
AUTO ECOLE LAVOISIER 28 RUE LAVOISIER 59790 RONCHIN,71,80.28,49,65.31,
AUTO ECOLE CEPAM 1 BIS RUE GEORGES CLEMENCEAU 59790 RONCHIN,112,75.89,57,61.4,
"AUTO ECOLE AUTO-ECOLE DU MOLINEL 48, RUE DU MOLINEL 59800 LILLE",118,72.88,54,68.52,
AUTO ECOLE ALIZE 38 RUE DE SAINT ANDRE 59800 LILLE,216,65.28,145,59.31,
AUTO ECOLE OZONE FORMATION 1 PLACE HAINE ST PIERRE 59810 LESQUIN,81,87.65,59,77.97,
AUTO ECOLE ECOLE DE CONDUITE GRAVELINOISE 12 RUE DE LA REPUBLIQUE 59820 GRAVELINES,215,61.86,64,56.25,
AUTO ECOLE MARIE PASCALE 41 RUE JEAN BAPTISTE LEBAS 59830 CYSOING,61,65.57,54,61.11,
AUTO ECOLE BENOIT 37 RUE DU GENERAL LECLERC 59840 PERENCHIES,110,86.36,101,78.22,
AUTO ECOLE VALERY BISSIAU 266 RUE JEAN JAURES 59860 BRUAY SUR L ESCAUT,93,55.91,51,66.67,
AUTO ECOLE ECOLE DE CONDUITE 59 441 RUE JEAN JAURES 59860 BRUAY SUR ESCAUT,158,70.25,100,58,
AUTO ECOLE ASSOCIATION APSR RUE SUZANNE LANOY MAISON DES ENTREPRISES 59870 RIEULAY,30,73.33,13,46.15,
AUTO ECOLE APSR BIS RUE SUZANNE LANNOY 59870 RIEULAY,20,70,20,35,
AUTO ECOLE JMC 8 RUE AUGUSTE MATON 59870 MARCHIENNES,50,64,25,60,
AUTO ECOLE DE BONDUES 1043 AVENUE DU GENERAL DE GAULLE 59910 BONDUES,95,72.63,61,55.74,
AUTO ECOLE GAEL CITY ZEN 13 BIS RUE DU BOSQUIEL 59910 BONDUES,169,75.15,113,66.37,
AUTO ECOLE KULUS 111 RUE JEAN JAURES 59920 QUIEVRECHAIN,37,40.54,16,37.5,
AUTO ECOLE CATHERINE 7 RUE DE CONDE 59920 QUIEVRECHAIN,66,50,34,38.24,
AUTO ECOLE ECOLE DE CONDUITE POCHET 67 RUE NATIONALE 59930 LA CHAPELLE D ARMENTIERES,73,64.38,11,54.55,
AUTO ECOLE AUTO MOTO ECOLE NICOLAS 12 RUE KENNEDY 59940 ESTAIRES,85,67.06,96,78.13,
AUTO ECOLE EURL AUTO MOTO ECOLE MALFAIT 31 RUE DE LILLE 59940 ESTAIRES,204,86.27,130,53.08,
AUTO ECOLE DAVID CONDUITE 7 PLACE DE LA REPUBLIQUE 59950 AUBY,78,64.1,40,50,
AUTO ECOLE ECOLE DE CONDUITE NEUVILLOISE 65 BIS RUE DE TOURCOING 59960 NEUVILLE EN FERRAIN,137,85.4,113,60.18,
"AUTO ECOLE LENFANT 4, RUE DE TOURCOING 06 72 79 11 66 59960 NEUVILLE-EN-FERRAIN",254,77.56,143,59.44,
AUTO ECOLE MICHELE 17 RUE EMILE ZOLA 59970 FRESNES SUR ESCAUT,60,63.33,33,51.52,
"AUTO ECOLE ANGADREME FORMATION 12, RUE LEONARD DE VINCI 60000 BEAUVAIS",38,60.53,15,46.67,
AUTO ECOLE SYMOSAYA IFA 6 RUE DELAHERCHE 60000 BEAUVAIS,88,87.5,20,85,
AUTO ECOLE SAINT QUENTIN 22 BOULEVARD SAINT JEAN 60000 BEAUVAIS,52,61.54,24,66.67,
AUTO ECOLE SAINT LAURENT 12 RUE PHILIPPE DE DREUX 60000 BEAUVAIS,63,69.84,30,56.67,
AUTO ECOLE DE LA FAC 2 RUE DE FAUBOURG SAINT ANDRE 60000 BEAUVAIS,55,54.55,31,54.84,
AUTO ECOLE DELAHAIE 38 RUE DU GENERAL LECLERC 60000 BEAUVAIS,59,76.27,36,66.67,
"AUTO ECOLE G.6.K 7, PLACE DE L'HOTEL DIEU 60000 BEAUVAIS",65,72.31,38,44.74,
AUTO ECOLE STOP 1 AVENUE FOCH 60000 BEAUVAIS,67,70.15,50,58,
AUTO ECOLE VOISINLIEU 125 RUE DE PARIS 60000 BEAUVAIS,68,66.18,51,62.75,
AUTO ECOLE OISE CONDUITE 10 BD ARISTIDE BRIAND 60000 BEAUVAIS,142,61.27,71,49.3,
"AUTO ECOLE DRIVE UP 3 BIS, RUE COLBERT 60000 BEAUVAIS",240,72.92,157,61.78,
AUTO ECOLE CAMPUS 3 ALLEE DE L HOTEL DE CHAALIS 60000 BEAUVAIS,265,84.53,177,63.28,
AUTO ECOLE FRANCAISE DE CONDUITE 5 RUE CORREUS 60000 BEAUVAIS,451,69.18,278,60.43,
AUTO ECOLE FORM' AUTO MOTO 37 RUE JEANNE D ARC 60000 BEAUVAIS,519,72.06,319,60.19,
"AUTO ECOLE WEB 22, RUE DU MARECHAL DELATTRE DE TASSIGNY 60100 CREIL",40,45,26,38.46,
AUTO ECOLE DE LA GARE 37 PLACE DU GENERAL DE GAULLE 60100 CREIL,76,65.79,47,57.45,
"AUTO ECOLE FLOCEA 15, RUE DES PIERRES - RESIDENCE LE TRIANON 60100 CREIL",97,78.35,52,51.92,
AUTO ECOLE SAINT MEDARD 06 RUE ROBERT SCHUMAN 60100 CREIL,98,78.57,55,74.55,
AUTO ECOLE DU PLATEAU 4 RUE HENRI DUNANT 60100 CREIL,151,74.17,99,61.62,
AUTO ECOLE VINCENT 2 PLACE DE L EGLISE 60100 CREIL,290,52.76,159,44.65,
AUTO ECOLE CHARLES V 39 RUE VICTOR HUGO 60100 CREIL,188,72.87,166,56.63,
AUTO ECOLE LEBRUN 20 AVENUE VICTOR HUGO 60110 MERU,84,72.62,49,51.02,
"AUTO ECOLE ALEX FORMATIONS ROUTIERES 7, BOULEVARD PABLO PICASSO 60110 MERU",172,71.51,98,65.31,
"AUTO ECOLE H - SARL MERU 17,RUE DE LA REPUBLIQUE 60110 MERU",197,67.51,113,66.37,
AUTO ECOLE ALES ENSEIGNEMENT ROUTIER 05 RUE JEAN JAURES 60110 MERU,176,60.23,138,73.19,
AUTO ECOLE DU THERAIN 27 RUE DE DIEPPE 60112 MILLY SUR THERAIN,73,68.49,47,63.83,
AUTO ECOLE GREBER 11 RUE FRAN�OIS MONNET 60120 BRETEUIL,38,60.53,28,64.29,
AUTO ECOLE TATIN 8 RUE DE CREVECOEUR 60120 BRETEUIL SUR NOYE,186,84.95,110,70,
AUTO ECOLE C.E.C.A. 13BIS BOULEVARD VALENTIN HAUY 60130 SAINT JUST-EN-CHAUSSEE,70,44.29,28,46.43,
AUTO ECOLE MELODIE 39 RUE DOUCE 60130 WAVIGNIES,93,83.87,65,72.31,
AUTO ECOLE PATRICIA RUE TALBOUIS CENTRE LECLERC 60130 SAINT JUST EN CHAUSSEE,121,66.94,94,67.02,
AUTO ECOLE JOELLE 54 RUE DE LA LIBERATION 60130 SAINT JUST EN CHAUSSEE,161,67.7,99,67.68,
AUTO ECOLE ECOLE DE CONDUITE MARIE-JO 16 BIS RUE ROGER DUPLESSIS 60140 LIANCOURT,130,73.08,76,76.32,
AUTO ECOLE CONDUITE PLUS THOUROTTE 15 BIS RUE DE LA REPUBLIQUE 60150 THOUROTTE,77,64.94,28,46.43,
AUTO ECOLE THOUROTTE 48 RUE DE LA REPUBLIQUE 60150 THOUROTTE,170,58.24,88,64.77,
AUTO ECOLE BFM 2 12 RUE DE CONDE 60160 MONTATAIRE,80,78.75,38,60.53,
AUTO ECOLE SAINT CHRISTOPHE 256 RUE DE PARIS 60170 RIBECOURT,34,79.41,29,72.41,
AUTO ECOLE 932 590 RUE NATIONALE 60170 CAMBRONNE LES RIBECOURT,104,75,50,44,
AUTO ECOLE I. SAINT CHRISTOPHE 256 RUE DE PARIS 60170 RIBECOURT DRESLINCOURT,87,77.01,65,64.62,
"AUTO ECOLE E.F.S.R. 24, RUE DU PONT ROYAL 60180 NOGENT SUR OISE",135,74.07,32,50,
AUTO ECOLE SUD OISE CONDUITE RUE BENO�T FRACHON ZAET 60180 SAINT MAXIMIN,106,80.19,42,64.29,
AUTO ECOLE DU CENTRE 68 BIS RUE DU GENERAL DE GAULLE 60180 NOGENT SUR OISE,68,66.18,44,65.91,
AUTO ECOLE B F M ECOLE DE CONDUITE 94 BIS RUE JEAN JAURES 60180 NOGENT SUR OISE,126,72.22,52,51.92,
AUTO ECOLE LEFEBVRE 11 PLACE DE LA REPUBLIQUE 60180 NOGENT SUR OISE,285,81.75,161,70.81,
AUTO ECOLE CIR+SAINT CHRISTOPHE 130 RUE PENNELLIER 60190 LANEUVILLEROY,43,69.77,35,60,
AUTO ECOLE DE MOYVILLERS CENTRE COMMERCIAL LA SECHERIE 60190 MOYVILLERS,142,78.87,73,57.53,
AUTO ECOLE ADEM 29 RUE DE STALINGRAD 60200 COMPIEGNE,84,80.95,40,67.5,
AUTO ECOLE 2000 30 RUE D AUSTERLITZ 60200 COMPIEGNE,98,79.59,65,52.31,
AUTO ECOLE CENTRE FORMATION AUTO MOTO 4 BIS RUE DE PIERREFOND 60200 COMPIEGNE,180,77.78,84,77.38,
AUTO ECOLE ECF COMPIEGNE 36 RUE D'AMIENS 60200 COMPIEGNE,277,74.37,96,63.54,
"AUTO ECOLE CEDRIC 1, RUE DE LA GLACIERE 60200 COMPIEGNE",164,64.02,96,47.92,
"AUTO ECOLE ECOLE DE CONDUITE CADET 08,RUE DE PARIS 60200 COMPIEGNE",432,75.69,230,65.65,
AUTO ECOLE DELABARRE FORMATION 29 RUE DES DOMELIERS 60200 COMPIEGNE,426,81.46,236,62.71,
AUTO ECOLE EPIDE MARGNY CENTRE MARGNY LES COMPIEGNES - BP 90857 60208 COMPIEGNE CEDEX,131,64.12,28,57.14,
AUTO ECOLE ROUTE 66 12 PLACE BARBIER 60210 GRANDVILLIERS,219,78.08,144,79.17,
"AUTO ECOLE MODERNE 373, RUE HENRI BARBUSSE 60230 CHAMBLY",185,81.08,107,71.03,
AUTO ECOLE GIL FORMATION 10 RUE PIERRE WOLF 60230 CHAMBLY,185,82.16,118,64.41,
AUTO ECOLE POLE POSITION DU VEXIN 7 RUE ROGER BLONDEAU 60240 CHAUMONT EN VEXIN,169,74.56,119,77.31,
AUTO ECOLE CER GAMBETTA 11 RUE GAMBETTA 60250 MOUY,17,64.71,12,50,
"AUTO ECOLE MOUY AUTO MOTO ECOLE 79, RUE DU GENERAL LECLERC 60250 MOUY",56,67.86,40,65,
AUTO ECOLE DES SPORTS IMPASSE VOLTAIRE 60250 BURY,81,60.49,65,60,
AUTO ECOLE DE LA GARE 32 PLACE PIERRE SEMARD 60250 MOUY,155,75.48,86,72.09,
AUTO ECOLE SPEED 60 47 RUE DU GENERAL LECLERC 60260 LAMORLAYE,34,47.06,25,52,
"AUTO ECOLE SUD OISE CONDUITE LAMORLAYE 37, AVENUE DE LA LIBERATION 60260 LAMORLAYE",180,77.78,106,64.15,
AUTO ECOLE C.D.F.A. SARL 01 RUE DE CHANTILLY 60270 GOUVIEUX,139,81.29,95,66.32,
"AUTO ECOLE REPUBLIQUE LAIGNEVILLE 521, RUE DE LA REPUBLIQUE 60290 LAIGNEVILLE",71,78.87,55,63.64,
AUTO ECOLE MARGOT 8 RUE DE LA GARE 60290 RANTIGNY,121,74.38,75,69.33,
AUTO ECOLE SJT SENLIS  60300 SENLIS,26,61.54,10,20,
AUTO ECOLE AVENIR 6 RUE DE MONTLEVEQUE 60300 SENLIS,128,61.72,81,56.79,
AUTO ECOLE CIR+ ILE DE FRANCE 20 AVENUE FOCH 60300 SENLIS,155,77.42,92,70.65,
AUTO ECOLE SUD OISE CONDUITE SENLIS 11 SQUARE DES ETATS UNIS 60300 SENLIS,152,75.66,109,61.47,
AUTO ECOLE LASSIGNY CONDUITE 02 RUE SAINT CREPIN 60310 LASSIGNY,91,75.82,49,57.14,
AUTO ECOLE MALCHUS 83 AVENUE DE LA GARE 60320 BETHISY SAINT PIERRE,113,75.22,38,65.79,
AUTO ECOLE RUDY FAUVEL 2 553 RUE DU DOCTEUR CHOPINET 60320 BETHISY ST PIERRE,66,69.7,48,56.25,
AUTO ECOLE OGET 22 RUE COQUEREL 60340 SAINT LEU D ESSERENT,232,76.72,136,66.91,
AUTO ECOLE MACADAM CONDUITE 12 RUE DU 08 MAI 1945 60350 ATTICHY,44,70.45,32,65.63,
AUTO ECOLE CUISE CONDUITE 27 BIS RUE DU MARCHE 60350 CUISE LA MOTTE,87,58.62,49,61.22,
AUTO ECOLE ROUTE 66 CREVECOEUR 6 RUE DU GENERAL MORET 60360 CREVECOEUR LE GRAND,93,74.19,47,80.85,
AUTO ECOLE HERMES 2 PLACE NELSON MANDELA 60370 HERMES,139,66.19,73,73.97,
AUTO ECOLE AUNEUIL FORMATIONS 36 RUE RENE DUCHATEL 60390 AUNEUIL,98,76.53,63,55.56,
AUTO ECOLE SJT NOYON 24 RUE SAINT ELOI 60400 NOYON,21,52.38,13,46.15,
AUTO ECOLE DU FAUBOURG 6 RUE DU FAUBOURG D'AMIENS 60400 NOYON,54,64.81,30,63.33,
"AUTO ECOLE NOYON 8 BIS, PLACE DE LA REPUBLIQUE 60400 NOYON",70,61.43,39,56.41,
"AUTO ECOLE AUTO-MOTO-ECOLE DE L'EUROPE 19, RUE VICTOR HUGO 60400 NOYON",84,63.1,49,75.51,
AUTO ECOLE MONTLHERY 72 RUE DE PARIS 60400 NOYON,79,68.35,53,79.25,
AUTO ECOLE C.E.R SAINT JACQUES 6 PLACE SAINT JACQUES 60400 NOYON,124,66.13,68,76.47,
"AUTO ECOLE DANIEL 47, BOULEVARD CHARMOLUE 60400 NOYON",178,66.85,110,67.27,
AUTO ECOLE SAINT-ELOI 26 BOULEVARD ERNEST NOEL 60400 NOYON,208,64.9,120,69.17,
"AUTO ECOLE CIR + PATRICIA 19, AVENUE RENE FIRMIN 60410 VERBERIE",140,80,93,54.84,
"AUTO ECOLE COLDEFY FORMATION 20, RUE DE PARIS 60430 NOAILLES",109,81.65,72,66.67,
AUTO ECOLE VISION 16 BIS RUE DE CREVECOEUR 60480 FROISSY,63,66.67,36,38.89,
AUTO ECOLE AUTO MOTO ECOLE TRISKEL 181 PLACE DU BAIL 60490 RESSONS SUR MATZ,96,58.33,51,58.82,
AUTO ECOLE SAINT LAURENT 7 BIS RUE DE GOUVIEUX 60500 CHANTILLY,76,67.11,50,48,
AUTO ECOLE SUD OISE CONDUITE ORRY 02 RUE DE LA CHAPELLE 60500 ORRY LA VILLE,57,71.93,64,73.44,
"AUTO ECOLE CER DU CHATEAU 122,RUE DU CONNETABLE 60500 CHANTILLY",142,74.65,71,50.7,
AUTO ECOLE C.E.R CHANTILLY 6 RUE D ORGEMONT 60500 CHANTILLY,264,77.27,157,63.69,
AUTO ECOLE DELOFFRE FRANCE 3 RUE DE LA MARNE 60510 BRESLES,114,82.46,68,64.71,
AUTO ECOLE CENTRE DE CONDUITE JOSE CONSTANTINO 509 RUE DE PARIS 60520 LA CHAPELLE EN SERVAL,87,87.36,16,43.75,
AUTO ECOLE CER DU THELLE 27 RUE DE BEAUVAIS 60530 NEUILLY EN THELLE,128,85.94,88,82.95,
AUTO ECOLE AND'VIL 30 RUE DE NOAILLES 60570 ANDEVILLE,22,100,16,87.5,
"AUTO ECOLE TRIE CHATEAU 46, RUE NATIONALE 60590 TRIE CHATEAU",157,64.33,105,62.86,
AUTO ECOLE C'PERMIS DE CONDUIRE 357 ROUTE DE PARIS 60600 BREUIL LE VERT,87,86.21,33,87.88,
AUTO ECOLE AUDO 20 RUE DE LA REPUBLIQUE 60600 CLERMONT,99,76.77,65,73.85,
AUTO ECOLE NADIA 02 RUE DE ST JUST EN CHAUSSEE 60600 CLERMONT,91,52.75,71,85.92,
AUTO ECOLE BERASCEIN 57 RUE DE LA REPUBLIQUE 60600 CLERMONT,210,72.38,130,69.23,
AUTO ECOLE TARTRON 21 RUE DES FONTAINES 60600 CLERMONT,190,74.74,138,69.57,
AUTO ECOLE ECOLE DE CONDUITE BENKO 1 CAVEE DES AIGUILLONS 60600 MONTATAIRE,351,69.52,337,52.23,
AUTO ECOLE ECOLE DE CONDUITE PASTEUR 44 RUE PASTEUR 60610 LA CROIX SAINT OUEN,72,59.72,48,58.33,
"AUTO ECOLE CIR PATRICIA 113 TER, RUE NATIONALE 60610 LA CROIX SAINT OUEN",159,74.21,60,58.33,
AUTO ECOLE GUISCARD 6 BIS RUE MARCEL POULIN 60640 GUISCARD,71,64.79,52,63.46,
"AUTO ECOLE DE LA CHAPELLE 18 BIS, AVENUE TRISTAN KLINGSOR 60650 LA CHAPELLE AUX POTS",66,75.76,42,71.43,
AUTO ECOLE CIRES 42 RUE DE LA VILLE 60660 CIRRES LES MELLO,53,79.25,42,85.71,
AUTO ECOLE MOTIV PERMIS 25 RUE DES PRES 60680 GRANDFRESNOY,63,74.6,42,52.38,
AUTO ECOLE DE PICARDIE 28 RUE DE LA REPUBLIQUE 60700 PONT SAINTE MAXENCE,39,89.74,29,72.41,
AUTO ECOLE DE PONT 26 RUE HENRI BODCHON 60700 PONT SAINTE MAXENCE,64,60.94,37,62.16,
AUTO ECOLE ECOLE DE CONDUITE JACQUES 38 RUE GEORGES DECROZE 60700 PONT SAINTE MAXENCE,283,72.08,179,59.78,
AUTO ECOLE DU CHATEAU 101 ROUTE NATIONALE 60730 SAINTE GENEVIEVE,91,83.52,51,64.71,
"AUTO ECOLE CHOISY CONDUITE 1, RUE DU MARECHAL FOCH 60750 CHOISY AU BAC",69,76.81,38,63.16,
AUTO ECOLE ECOLE DE CONDUITE DU VALOIS 5 RUE BERGERON 60800 CREPY EN VALOIS,81,66.67,45,75.56,
AUTO ECOLE JL FORMATION AUTO MOTO ECOLE 7 PLACE GEORGES BRASSENS 60800 CREPY EN VALOIS,68,77.94,45,64.44,
AUTO ECOLE MALCHUS 1 RUE JEAN JAURES 60800 CREPY EN VALOIS,49,83.67,47,80.85,
AUTO ECOLE FAUVEL RUDY 01 RUE SAINT LAZARE 60800 CREPY EN VALOIS,180,66.11,84,60.71,
AUTO ECOLE JOEL MICHEL 71 RUE NATIONALE 60800 CREPY EN VALOIS,119,66.39,84,70.24,
AUTO ECOLE DANIEL AUTO MOTO 13 RUE NATIONALE 60800 CREPY EN VALOIS,192,79.69,107,69.16,
AUTO ECOLE CER NOVEL 72 RUE ST LAZARE 60800 CREPY EN VALOIS,280,67.14,155,63.87,
AUTO ECOLE SJT CREPY 14 RUE JEAN JACQUES ROUSSEAU 60801 CREPY EN VALOIS,17,100,29,48.28,
AUTO ECOLE AUTO MOTO SAINT GERMER 3 PLACE DE VERDUN 60850 SAINT GERMER DE FLY,110,74.55,39,51.28,
AUTO ECOLE RAPH 29 RUE ALBERT THOMAS 60870 VILLERS SAINT PAUL,57,75.44,31,67.74,
AUTO ECOLE AL CARIOLE 07 RUE JOSEPH HAVY 60870 RIEUX,84,57.14,44,47.73,
AUTO ECOLE MC RIEUX 03 RUE JEAN MAUGUET 60870 RIEUX,75,73.33,45,55.56,
AUTO ECOLE ECF JAUX 233 RUE CHARLES LADAME 60880 JAUX,57,71.93,44,54.55,
"AUTO ECOLE ECOLE DE CONDUITE ALENCONNAISE 28, AVENUE DU GENERAL LECLERC 61000 ALENCON",58,58.62,31,58.06,
"AUTO ECOLE BESSE PHILIPPE 38, RUE DE CERISE 61000 ALENCON",78,43.59,35,60,
AUTO ECOLE CENTRE SOCIAL EDITH BONNEM PLACE EDITH BONNEM 61000 ALENCON,114,35.96,37,43.24,
AUTO ECOLE EXPRESS 161 AVENUE DU GENERAL LECLERC 61000 ALENCON,68,61.76,39,51.28,
AUTO ECOLE LEROUVILLOIS 63 COURS CLEMENCEAU 61000 ALENCON,76,78.95,40,82.5,
AUTO ECOLE COURTEILLE 46 RUE DE CERISE 61000 ALENCON,111,78.38,48,70.83,
AUTO ECOLE DUROY 91 RUE DU GENERAL LECLERC 61000 ST GERMAIN DU CORBEIS,92,43.48,52,38.46,
AUTO ECOLE MARINA FORMATION 66 BOULEVARD MEZERAY 61000 ALENCON,80,58.75,53,73.58,
AUTO ECOLE FLASH 165 GRANDE RUE 61000 ALEN�ON,117,44.44,54,48.15,
AUTO ECOLE ALENCON CONDUITE 17 BD KOUTIALA 61000 ALENCON,99,77.78,54,64.81,
AUTO ECOLE LES IRIS 12 BOULEVARD DE LA REPUBLIQUE 61000 ALEN�ON,103,62.14,60,56.67,
AUTO ECOLE ACTIV'CONDUITE 97 AVENUE DE COURTEILLE 61000 ALEN�ON,92,72.83,62,66.13,
"AUTO ECOLE DOMINIQUE FORMATION 109, AVENUE DU GENERAL LECLERC 61000 ALENCON",123,69.11,75,65.33,
AUTO ECOLE SARL LA DYNAMIC 4 RUE LAVOISIER 61000 ALENCON,569,82.6,241,60.17,
AUTO ECOLE 61 35 RUE DE MESSAI 61100 FLERS,81,62.96,26,57.69,
AUTO ECOLE L'ETAPE 24 PLACE PAULETTE DUHALDE 61100 FLERS,72,54.17,26,23.08,
AUTO ECOLE DULGER LE PONT FERON 61100 LA SELLE LA FORGE,223,34.98,36,55.56,
AUTO ECOLE CENTRE FORMATION BIGOT LIBOR PLACE DU PONT DE DOMFRONT 61100 FLERS,250,57.2,105,56.19,
AUTO ECOLE FUN FORMATION 14 RUE DE LA FONTAINE 61100 FLERS,202,74.26,113,61.06,
AUTO ECOLE ACTI-CONDUITE 49 RUE DE PARIS 61100 FLERS,211,78.2,132,75,
"AUTO ECOLE ZENITH FORMATION 8, RUE DE PARIS 61100 FLERS",283,66.78,209,67.94,
AUTO ECOLE C.F.R 61 10 RUE DU 08 MAI 61120 VIMOUTIERS,141,55.32,53,45.28,
"AUTO ECOLE ROBINAUX 02, PLACE DU GENERAL LECLERC 61130 BELLEME",68,70.59,35,74.29,
"AUTO ECOLE WARNING 28, RUE BOUCICAUT 61130 BELLEME",93,62.37,39,74.36,
AUTO ECOLE C.S.R 11 AVENUE DU DOCTEUR POULAIN 61140 BAGNOLES DE L ORNE,64,87.5,44,72.73,
AUTO ECOLE E.C ECUBEENNE 5 PLACE SAINT DENIS 61150 ECOUCHE,78,55.13,38,65.79,
AUTO ECOLE SB PLACE DU CANADA 61160 TRUN,55,41.82,29,55.17,
AUTO ECOLE DU PAYS MELOIS 98 GRANDE RUE 61170 LE MELE SUR SARTHE,72,75,37,78.38,
AUTO ECOLE E.C NADINE PENLOUP 14 BOULEVARD DU GENERAL DE GAULLE 61200 ARGENTAN,22,90.91,10,40,
"AUTO ECOLE DELIS 22, BOULEVARD DU GENERAL DEGAULLE. 61200 ARGENTAN",75,84,17,70.59,
AUTO ECOLE ACCES CONDUITE 3 BIS PLACE DU DOCTEUR COUINAUD 61200 ARGENTAN,292,63.01,149,65.77,
AUTO ECOLE REFLEX 102 RUE ARISTIDE BRIAND 61200 ARGENTAN,531,70.06,253,54.55,
AUTO ECOLE REFLEX AUTO MOTO ECOLE 5BIS RUE ARISTIDE BRIAND 61210 PUTANGES PONT ECREPIN,77,74.03,47,40.43,
"AUTO ECOLE SPEED FORMATION 3, RUE SAINT-EUSTACHE. 61220 BRIOUZE",12,58.33,11,36.36,
AUTO ECOLE AUTO MOTO ECOLE PHILIPPE PLACE DU MARCHE 61220 BRIOUZE,30,60,16,68.75,
AUTO ECOLE C.E.R. ORNAIS 9 RUE DE ROUEN 61230 GACE,12,75,15,66.67,
AUTO ECOLE ECOLE DE CONDUITE GUILLO 45 RUE DU MARCHE AUX BESTIAUX 61230 GACE,95,69.47,46,63.04,
AUTO ECOLE DE DAMIGNY 8 PLACE DE LA PETITE NORMANDE 61250 DAMIGNY,109,81.65,68,69.12,
AUTO ECOLE SARL STOP PLACE JEAN GICQUEL DES TOUCHES 61250 VALFRAMBERT,203,60.59,112,56.25,
"AUTO ECOLE LEGRAND 22, PLACE DE L HOTEL DE VILLE 61290 LONGNY AU PERCHE",65,60,36,77.78,
AUTO ECOLE AUTO MOTO ECOLE GERARD LETEURE 41 RUE DU BEC HAM 61300 L AIGLE,69,59.42,31,77.42,
AUTO ECOLE ECOLE DE CONDUITE AIGLONNE 10 RUE DU DOCTEUR ROUYER 61300 L AIGLE,79,67.09,46,67.39,
AUTO ECOLE MACHA BALLE 1 RUE PORTE GIVRY 61300 L AIGLE,160,63.75,62,62.9,
AUTO ECOLE EURO FORMATION 40 AV ILE DE FRANCE 61300 L AIGLE,192,52.6,75,66.67,
AUTO ECOLE DU BUAT 4 RUE DU BUAT 61300 L AIGLE,277,70.4,134,61.19,
AUTO ECOLE ECOLE DE CONDUITE DU PERCHE 9 PLACE NOTRE DAME 61400 MORTAGNE AU PERCHE,85,76.47,35,82.86,
"AUTO ECOLE CAR'IN CONDUITE 25, PLACE DE LA REPUBLIQUE 61400 MORTAGNE-AU-PERCHE",108,59.26,57,63.16,
AUTO ECOLE A.E DU QUARTIER DES HALLES 6 RUE DES HALLES 61400 MORTAGNE AU PERCHE,75,88,59,88.14,
AUTO ECOLE DES HALLES 17 PLACE DES HALLES 61500 SEES,94,39.36,38,65.79,
AUTO ECOLE LEMEUNIER 17 RUE BILLY 61500 SEES,151,63.58,69,71.01,
AUTO ECOLE ONE WAY 17 PLACE DU GENERAL LECLERC 61600 LA FERTE MACE,73,79.45,44,88.64,
"AUTO ECOLE E.C DES QUATRE ROUES 4, RUE DES QUATRE ROUES 61600 LA FERTE MACE",196,63.78,119,74.79,
AUTO ECOLE ECOLE DE CONDUITE LESELLIER Z.A.E. ROUTE DE MORTAIN 61700 DOMFRONT,272,68.01,181,70.72,
AUTO ECOLE REMY AUVRAY LOTISSEMENT LA GUITONIERE 61800 SAINT CORMIER DES LANDES,19,78.95,10,90,
AUTO ECOLE ECOLE DE CONDUITE NORMANDE 02 RUE DE PARIS 61800 TINCHEBRAY,18,83.33,14,71.43,
